id,c_holder,c_cates,c_author,c_lang,record_type,status,number_of_pages,url
4401,"London ,British Library, Add MS 32276 f 113. BL_Add_MS_32276_113",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4401
4400,"London ,British Library, Add MS 32276 f 111. BL_Add_MS_32276_111",1784 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4400
4399,"London ,British Library, Add MS 32276 f 109. BL_Add_MS_32276_109",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4399
4398,"London ,British Library, Add MS 32276 f 103. BL_Add_MS_32276_103",1770 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,11,https://de-crypt.org/decrypt-web/RecordsView/4398
4397,"London ,British Library, Add MS 32276 f 101. BL_Add_MS_32276_101",1770 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4397
4396,"London ,British Library, Add MS 32276 f 99. BL_Add_MS_32276_099",1769 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4396
4395,"London ,British Library, Add MS 32276 f 97. BL_Add_MS_32276_097",1769 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4395
4394,"London ,British Library, Add MS 32276 f 95. BL_Add_MS_32276_095",1767 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4394
4393,"London ,British Library, Add MS 32276 f 93. BL_Add_MS_32276_093",1781 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4393
4392,"London ,British Library, Add MS 32276 f 91. BL_Add_MS_32276_091",1766 -,Western manuscripts Prufsia,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4392
4391,"London ,British Library, Add MS 32276 f 85. BL_Add_MS_32276_085",1765 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,11,https://de-crypt.org/decrypt-web/RecordsView/4391
4390,"London ,British Library, Add MS 32276 f 83. BL_Add_MS_32276_083",1764 - 1765,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4390
4389,"London ,British Library, Add MS 32276 f 81. BL_Add_MS_32276_081",1764 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4389
4388,"London ,British Library, Add MS 32276 f 79. BL_Add_MS_32276_079",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4388
4387,"London ,British Library, Add MS 32276 f 77. BL_Add_MS_32276_077",1764 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4387
4386,"London ,British Library, Add MS 32276 f 75. BL_Add_MS_32276_075",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4386
4385,"London ,British Library, Add MS 32276 f 73. BL_Add_MS_32276_073",1762 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4385
4384,"London ,British Library, Add MS 32276 f 72. BL_Add_MS_32276_072",1762 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,1,https://de-crypt.org/decrypt-web/RecordsView/4384
4383,"London ,British Library, Add MS 32276 f 70. BL_Add_MS_32276_070",1761 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4383
4382,"London ,British Library, Add MS 32276 f 68. BL_Add_MS_32276_068",1761 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4382
4381,"London ,British Library, Add MS 32276 f 66. BL_Add_MS_32276_066",1761 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4381
4380,"London ,British Library, Add MS 32276 f 64. BL_Add_MS_32276_064",1752 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4380
4379,"London ,British Library, Add MS 32276 f 62. BL_Add_MS_32276_062",1756 -,Western manuscripts Potzdam,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4379
4378,"London ,British Library, Add MS 32276 f 60. BL_Add_MS_32276_060",1756 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4378
4377,"London ,British Library, Add MS 32276 f 58. BL_Add_MS_32276_058",1756 -,Western manuscripts Potzdam,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4377
4376,"London ,British Library, Add MS 32276 f 56. BL_Add_MS_32276_056",1754 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4376
4375,"London ,British Library, Add MS 32276 f 54. BL_Add_MS_32276_054",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4375
4374,"London ,British Library, Add MS 32276 f 52. BL_Add_MS_32276_052",1752 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4374
4373,"London ,British Library, Add MS 32276 f 50. BL_Add_MS_32276_050",1751 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4373
4372,"London ,British Library, Add MS 32276 f 48. BL_Add_MS_32276_048",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4372
4371,"Stockholm , National Library of Sweden codebook",1873 -,,Cleartext: French Plaintext: French,Key,N/A,,https://de-crypt.org/decrypt-web/RecordsView/4371
4370,"London ,British Library, Add MS 32276 f 46. BL_Add_MS_32276_046",1751 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4370
