table	code	root	start_line	start_digit	end_line	end_digit	grade	qualification
A	31222	spr	R7	83	R7	87	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31447	s	R7	88	R7	92	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31214	lich	R7	93	R7	97	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31328	ho	V1	2	V1	6	I	proposed digit repair or token boundary after deletion; see emendations.json
A	8		V1	7	V1	7	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	95	n	V1	8	V1	9	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31346	or	V1	10	V1	14	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31000	ab	V1	15	V1	19	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31169	le	V1	20	V1	24	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	95	n	V1	25	V1	26	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31004	fried	V1	27	V1	31	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31184	ver	V1	32	V1	36	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	876	[A→B]	V1	37	V1	39	H	1752 Clavis Prima, numeric (R1698 I7484 P1), 800 column: 876 indic. Clav. Secundam
B	31162	schaff	V1	40	V1	44	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31301	könnte	V1	45	V1	49	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	870	,	V1	50	V1	52	H	1752 Clavis Secunda, numeric (R1698 I7486 P3), 800 column: 870 coma
B	00	und	V1	53	V1	54	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31384	gi	V1	55	V1	59	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31042	eb	V1	60	V1	64	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31238	t	V1	65	V1	69	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	8		V1	70	V1	70	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
B	31325	mir	V1	71	V1	75	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31466	zu	V1	76	V1	80	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	53	mahl	V1	81	V1	82	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	50	die	V1	83	V2	1	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31400	von	V2	2	V2	6	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31460	den	V2	7	V2	11	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31183	Farinelli	V2	12	V2	16	H	1752 Clavis Secunda, numeric (R1698 I7486 P3); explicit proper-name alternative in alphabetical and numerical keys
B	8		V2	17	V2	17	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
B	31010	gege	V2	18	V2	22	M	longer ge-variant, checked against alphabetical/numerical copies
B	31272	n	V2	23	V2	27	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31057	Euer	V2	28	V2	32	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31087	ho	V2	33	V2	37	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31286	ch	V2	38	V2	42	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31117	geb	V2	43	V2	47	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31498	o	V2	48	V2	52	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31016	H	V2	53	V2	57	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31228	r	V2	58	V2	62	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	8		V2	63	V2	63	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
B	31157	n	V2	64	V2	68	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	00	und	V2	69	V2	70	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31306	von	V2	71	V2	75	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31460	den	V2	76	V2	80	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31315	wa	V2	81	V2	85	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31133	l/ll	V2	86	V3	2	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31126	gege	V3	3	V3	7	M	longer ge-variant, checked against alphabetical/numerical copies
B	31272	n	V3	8	V3	12	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31210	den	V3	13	V3	17	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31182	französ	V3	18	V3	22	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
